reference_number,gazetted_name,alias_local_name,waterbody_type,waterbody_id_identifier,watershed_code_45_digit,twc_number,reach_number,site_number,survey_date,utm_method,utm_zone,utm_easting,utm_northing,no_visible_channel,dewatered_dry_int_channel,rowid,time
,Trib to Bighorn Creek,197801_us_ef1 ,,,,,,,2022-09-30,,11,658238.7808,5453037.706,,,1,12:42:00
,Weigert Creek,197534_us_ef2,,,,,,,2022-09-27,,11,649387.0638,5531717.645,,,2,12:26:06
,Bighorn Creek,197801_ds_ef,,,,,,,2022-09-28,,11,657698.6141,5452909.97,,,3,12:12:56
,Wiegert Creek,197820_us5,,,,,,,2022-09-29,,11,648698.8994,5532036.029,,,4,14:06:36
,Trib to Bighorn Creek,197844_us_ef1,,,,,,,2022-09-30,,11,657923.2108,5452804.931,,,5,11:26:43
,Brûlé Creek,197559_us_ef2,,,,,,,2022-10-05,,11,648975.9745,5527380.253,,,6,12:12:58
,Weigert Creek ,197801_us4,,,,,,,2022-09-29,,11,648701.1162,5532025.472,,,7,14:32:07
,Tributary to Bighorn Creek ,197844_ds_ef2,,,,,,,2022-09-30,,11,657823.732,5452765.373,,,8,10:33:46
,Weigert Creek,197534,,,,,,,2022-09-27,,,650134.2788,5532054.998,,,9,12:36:42
,Weigert Creek,197534,,,,,,,2022-09-27,,,650045.9067,5531965.959,,,10,14:22:17
,Weigert creek,,,,,,,,2022-10-04,,11,644349.8416,5535664.675,,,11,13:48:40
,Brule creek ,,,,,,,,2022-10-05,,11,650662,5528524,,,12,13:29:42
,Brule Creek,,,,,,,,2022-10-05,,11,650662,5528524,,,13,13:32:43
,,,,,,,,,2022-10-06,,0,649049.6614,5531759.542,,,14,12:20:59
